ENGLISH SENTENCE,GOLD STANDARD CODE-MIXED SENTENCE
Are these even good men?,Era ki good men?
I've been doing some checking.,Ami kichu check korchilam.
"Right this way, guys.","Ei poth diye jao, guys."
You know we still have a debt to settle.,Tumi jano amader ekhono ekta debt settle korte hobe.
"Hey honey, look. Look, I'm doing it.","Ei honey, dekho. Dekho, ami eta korchi."
"Merritt, can I get a row, please?","Merritt, ami ki ekta row pabo, please?"
"But it sure makes you feel alive, doesn't it?","Kintu eta surely tomake jibito feel korai, ta ki na?"
"I'm well aware of that, Raikes.","Ami oi bepare bhalo kore aware, Raikes."
"Mrs. Calvert, I'm Brock Lovell.","Mrs. Calvert, ami Brock Lovell."
"Oh, I see you have already met my father.","Oh, ami dehchi tumi amar babar sathe already meet korecho."
I second Mr. Potter's motion.,Ami Mr. Potter'er motion ke samarthan kori.
Is it such a curious question?,Eta ki eto curious prashna?
"Like a 14,000-year-old caveman.","Jeno ekjon 14,000 bochor boyoshi guha-manush."
"Your boy's different, Mrs. Gump.","Tomar chele alada, Mrs. Gump."
I bet Russian czars never paid that for a single horse.,Ami bet korchi Russian czars kokhono ekta single horse er jonno eto payment koreni.
"Looks like we have a spot of luck, eh?","Mone hocche amader luck bhalo, ki na?"
I'll look into it.,Ami eta check korbo.
He's on the phone.,O phone-e ache.
You can rent your body to another woman.,Tumi tomar sharir onno ekjon mohilake rent dite paro.
There are six guards posted during the day.,Dine choyjon guard post kora hoyeche.
"I'm sorry this has happened to you, Constance.","Ami sorry ei ghotona tomar sathe ghoteche, Constance."
"When they go to sleep, you must disarm them.","Jokhon tara ghumate jabe, tomake taderke disarm korte hobe."
"You're out of bullets, aren't you?","Tomar toh bullets sesh, tai na?"
Your condition is not the issue here.,Tomar obostha ekhane kono issue noi.
Let us not forget that we are the fortunate ones.,Amra bhule jabo na je amra fortunate.
"Not just one, there are many snakes.","Shudhu ekta noi, onek gulo snake ache."
"I go every month, remember.","Ami prottek month jai, mone rekho."
"Well, now I'm just embarrassed.","Well, ekhon ami embarrased."
"It's just nonsense, it's bullshit.","Eita nonsense, eta puro bullshit."
"If you change your mind, the buses leave in 10 minutes.","Jodi tumi tomar mon change koro, bus gulo 10 minute er moddhe chere jabe."
Only thing missing is proof.,Shudhu proof missing.
It implies the Illuminati murdered him with his own medication.,Etar mane hocche Illuminati take tar nijer oshudh diye khun korechilo.
I've watched that fight with Rubicon like 20 times.,Ami oi Rubicon er fight prai 20 bar dekhechi.
Selene and David are heading north.,Selene ebong David north dike prasthan korchhen.
The hypotenuse is good one.,Hypotenuse ta bhalo.
Here is my settlement to you.,Ei hocche amar apnar kache settlement.
It's true that Karpov was my father.,Eita sotti je Karpov amar baba chilo.
You and I have a lot of catching up to do.,Tomai ar amai onekta catching up korte hobe.
That's how much they got.,Oi'ta tader koto peyeche.
Getting my hook and being awesome again.,Amar hook peye abar awesome howar poth e.
"Uncle Ibrahim, where are we going?","Uncle Ibrahim, amra kothay jacchi?"
Take a bucket of piss and call it Granny's Peach Tea.,Ekta balti piss niye eta ke Granny's Peach Tea bole dao.
Empty the barrels over the side. You heard him.,Barrels gulo side e khali koro. Tumi toh tar kotha shunecho.
"Sir, I've located Ms. Potts.","Sir, ami Ms. Potts er location ta peye gechi."
"But the bell sounds, and once again, this little robot has stunned the world.","Ghonta bajche, ar ekbar abar, ei choto robot ta biswa ke stun kore deyechhe."
The Sisters have taken quite a liking to you.,Sisters tomake khub bhalobashe.
"Your son, Mr. Raju Rastogi, is rusticated from the Imperial College of Engineering.","Apnar chele, Mr. Raju Rastogi, ke Imperial College of Engineering theke rusticate kora hochche ."
"It was warm and soft, like pressing my face against the cheek of God.","Eta gorom ebong norom chilo, jeno ami amar mukhke God-er gaal e press korchi."
It's Cinco de Mayo.,Eita Cinco de Mayo.
"You can't walk away from this, Dom.","Tumi ei theke sore jete parbe na, Dom."
It could have been a seizure. Possibly drugs.,Eta ekta seizure hote parto. Possibly drugs.
"Kids have to compete, succeed, make a future.","Shishuder compete korte hobe, success pete hobe, ekta future banate hobe."
"Well, thank you, Mystic Meg.","Well, dhonnobad, Mystic Meg."
"Yeah, I like you too, Mr. Bufo.","Haan, ami o tomake like kori, Mr. Bufo."
I'm just wondering why you didn't turn the thing.,Ami shudhu vabchi apni keno jinish ta turn koren ni.
"Come on, easy. Easy.","Cholo, shohoje. Shohoje."
It's a 25-foot drop.,Eita ekta 25-foot drop.
"You saved the Building and Loan, and I saved all the rest.","Tumi Building and Loan bachale, ar ami baki sob kichu bachalam."
"Opinions differ, my lord.","Mato bhed hoi, amar prabhu."
"A crack in your story, John.","Tomar golpo te ekta crack ache, John."
"Like all Indian men, I'm very hot.","Ami sob Indian purush er moto, khub hot."
Pursuing car driven by the fugitive.,Fugitive er chalano car dhawa.
You have priceless batteries and an atomic bomb in your bag.,Tumi tomar bag-e amulya batteries ebong ekta atomic bomb rakhecho.
This is the sacrificial chamber.,Eita holo sacrificer ghor.
"Child Rosy, how is the health?","Child Rosy, tomar health kemon achhe?"
"Look at him, he's useless.","Takao tar dike, shey akdom useless."
"Hey Sultan Angoora, next Kashmir.","Hey Sultan Angoora, porer Kashmir."
